"id","timestamp","horario_de_pico","cpu_percent","memory_percent","memory_available","processos_ativos","disk_percent","disk_avl"
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232",2025-09-29 13:32:49,0,15.9,82.1,,245,41.5,
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232",2025-09-29 13:37:22,0,13.5,82.2,,245,41.5,
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232",2025-09-29 13:39:38,0,,82.3,,245,41.5,
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232",2025-09-29 13:41:56,0,7.4,82.4,,244,41.5,
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232",2025-09-29 13:27:36,0,16,82.4,,244,41.5,
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232",2025-09-29 13:29:53,0,6.2,82.4,,246,41.5,
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232",2025-09-29 13:32:11,0,,82.2,,244,41.5,
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232",2025-09-29 13:34:26,0,9.3,82.8,,243,41.5,
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232",2025-09-29 13:36:40,0,14.6,85.2,,243,41.5,
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232",2025-09-29 13:38:57,0,8.2,85.2,,243,41.5,
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232",2025-09-29 13:41:12,0,2,89.1,,243,41.5,
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232",2025-09-29 13:43:27,0,12.2,86.7,,242,41.5,
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232",2025-09-29 13:29:05,0,2,87.1,,243,41.5,
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232",2025-09-29 13:31:22,0,17.2,87.1,,243,41.5,
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232",2025-09-29 13:33:37,0,7.3,87.2,,241,41.5,
